Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3bj4B	3bj4AB	KCNQ1_HUMAN - KCNQ1_HUMAN	-5.344	-14.446	25	35	71.43%	No expression data available	1	0.254243896	0.714285714	0.181602783	-0.970485271
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	GABR1_HUMAN	Gamma-aminobutyric acid type B receptor subunit 1	4pasA	4pasAB	GABR1_HUMAN - GABR2_HUMAN	-5.684	-21.342	25	36	69.44%	No expression data available	1	0.576074139	0.694444444	0.400051485	-2.273892642
7lp7A	INFLUENZA A VIRUS (A/LUXEMBOURG/43/2009(H1N1))	POLYMERASE ACIDIC PROTEIN	TSC1_HUMAN	Hamartin	5ejcC	5ejcCD	TSC1_HUMAN - TSC1_HUMAN	-5.605	-18.024	25	34	73.53%	No expression data available	1	0.737698633	0.735294118	0.542425465	-3.040294732
4pusB	INFLUENZA A VIRUS	MATRIX PROTEIN 1	AL7A1_HUMAN	Alpha-aminoadipic semialdehyde dehydrogenase	2j6lF	2j6lAF	AL7A1_HUMAN - AL7A1_HUMAN	-5.016	-6.016	27	36	75.00%	No expression data available	1	0.001244042	0.75	0.000933031	-0.004680085
4pusB	INFLUENZA A VIRUS	MATRIX PROTEIN 1	I20RA_HUMAN	Interleukin-20 receptor subunit alpha	4dohR	4dohAR	I20RA_HUMAN - IL20_HUMAN	-5.376	-6.579	46	51	90.20%	"adrenal gland, appendix, breast, cervix, uterine, colon, duodenum, endometrium 1, epididymis, esophagus, fallopian tube, gallbladder, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1.5	0.879131653	1.352941176	1.189413413	-6.394286509
3wi0A	INFLUENZA A VIRUS	POLYMERASE BASIC PROTEIN 2	G3BP1_HUMAN	Ras GTPase-activating protein-binding protein 1	3q90B	3q90AB	G3BP1_HUMAN - G3BP1_HUMAN	-8.663	-26.901	46	58	79.31%	No expression data available	1.5	0.996033233	1.189655172	1.184936088	-10.26510133
3wi0A	INFLUENZA A VIRUS	POLYMERASE BASIC PROTEIN 2	NTF2_HUMAN	Nuclear transport factor 2	1gy5B	1gy5AB	NTF2_HUMAN - NTF2_HUMAN	-8.868	-23.709	39	59	66.10%	No expression data available	1.5	0.997878087	0.991525424	0.989421493	-8.7741898
3wi0A	INFLUENZA A VIRUS	POLYMERASE BASIC PROTEIN 2	PSIP1_HUMAN	PC4 and SFRS1-interacting protein	2b4jD	2b4jAD	PSIP1_HUMAN - POL_HV1N5	-5.635	-7.488	18	25	72.00%	No expression data available	0.5	0.209159365	0.36	0.075297371	-0.424300688
7jp4B	INFLUENZA A VIRUS (A/FOR	HEMAGGLUTININ	S6B2B6_HUMAN	S6B2B6_HUMAN	5w6gH	5w6gAH	S6B2B6_HUMAN - A7UPX0_9INFA	-6.783	-6.524	31	31	100.00%	No expression data available	1	6.02910387909e-05	1	6.02910387909e-05	-0.000408954
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	GLSK_HUMAN	"Glutaminase kidney isoform, mitochondrial"	5uqeD	5uqeAD	GLSK_HUMAN - GLSK_HUMAN	-5.892	-5.944	16	16	100.00%	No expression data available	0.5	0.209159365	0.5	0.104579683	-0.61618349
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-7.257	-16.895	41	47	87.23%	No expression data available	1	0.886253419	0.872340426	0.773114685	-5.610493267
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	XPO1_HUMAN	Exportin-1	1w9cB	1w9cAB	XPO1_HUMAN - XPO1_HUMAN	-7.806	-14.983	39	49	79.59%	No expression data available	1	0.980260797	0.795918367	0.780207573	-6.090300315
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	ATG5_HUMAN	Autophagy protein 5	4tq1A	4tq1AB	ATG5_HUMAN - TCPR1_HUMAN	-8.191	-23.635	25	30	83.33%	No expression data available	1	0.987787501	0.833333333	0.823156251	-6.742472851
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	ATG5_HUMAN	Autophagy protein 5	4gdkB	4gdkBC	ATG5_HUMAN - A16L1_HUMAN	-6.795	-21.906	31	33	93.94%	No expression data available	1	0.849657354	0.939393939	0.798162969	-5.423517377
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2	4oniB	4oniAB	NR5A2_HUMAN - NR5A2_HUMAN	-5.585	-11.771	43	50	86.00%	No expression data available	1.5	0.009784275	1.29	0.012621715	-0.07049228
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	PGAM5_HUMAN	"Serine/threonine-protein phosphatase PGAM5, mitochondrial"	5mufC	5mufBC	PGAM5_HUMAN - PGAM5_HUMAN	-5.95	-10.556	26	36	72.22%	No expression data available	1	0.141716858	0.722222222	0.102351064	-0.608988831
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uA	4q9uAC	RABX5_HUMAN - RABE1_HUMAN	-11.319	-9.639	51	51	100.00%	No expression data available	1.5	0.044440511	1.5	0.066660766	-0.754533213
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	PSMD8_HUMAN	26S proteasome non-ATPase regulatory subunit 8	5l4kT	5l4kTV	PSMD8_HUMAN - PSDE_HUMAN	-6.613	-6.97	23	23	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.537190729
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	TRAF1_HUMAN	TNF receptor-associated factor 1	5e1tA	5e1tAC	TRAF1_HUMAN - TRAF1_HUMAN	-6.376	-19.522	40	50	80.00%	No expression data available	1.5	0.107825779	1.2	0.129390934	-0.824996597
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CLC4K_HUMAN	C-type lectin domain family 4 member K	3kqgA	3kqgAB	CLC4K_HUMAN - CLC4K_HUMAN	-6.621	-16.122	42	55	76.36%	No expression data available	1.5	0.461033681	1.145454545	0.528093126	-3.496504584
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	RB11A_HUMAN	Ras-related protein Rab-11A	6djlH	6djlBH	RB11A_HUMAN - 3BP5_HUMAN	-9.382	-13.501	42	50	84.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.983462504	1.26	1.239162755	-11.62582496
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	UB2G2_HUMAN	Ubiquitin-conjugating enzyme E2 G2	2lxpA	2lxpAB	UB2G2_HUMAN - AMFR_HUMAN	-7.948	-12.189	27	27	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, pancreas, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.470307003	0.5	0.235153501	-1.869000028
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SHRM2_HUMAN	Protein Shroom2	5f5pA	5f5pAC	SHRM2_HUMAN - ROCK1_HUMAN	-12.475	-11.075	29	29	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.350035012	0.5	0.175017506	-2.183343389
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SET_HUMAN	Protein SET	2e50B	2e50AB	SET_HUMAN - SET_HUMAN	-6.842	-42.475	52	69	75.36%	No expression data available	1.5	0.98135544	1.130434783	1.109358324	-7.590229652
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CSF3_HUMAN	Granulocyte colony-stimulating factor	1rhgC	1rhgAC	CSF3_HUMAN - CSF3_HUMAN	-5.192	-9.981	38	51	74.51%	No expression data available	1.5	0.198847272	1.117647059	0.222241069	-1.153875631
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	3mk8A	3mk8AB	MCL1_HUMAN - MCL1_HUMAN	-9.53	-10.44	17	17	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.885694742	0.5	0.442847371	-4.220335444
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	MCL1_HUMAN	Induced myeloid leukemia cell differentiation protein Mcl-1	3pk1A	3pk1AB	MCL1_HUMAN - BAX_HUMAN	-5.536	-17.23	24	24	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.841798902	0.5	0.420899451	-2.330099362
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	PSME1_HUMAN	Proteasome activator complex subunit 1	1avoB	1avoBN	PSME1_HUMAN - PSME1_HUMAN	-5.26	-18.598	50	63	79.37%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.420445084	1.19047619	0.500529861	-2.632787071
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	BIRC5_HUMAN	Baculoviral IAP repeat-containing protein 5	2qfaA	2qfaAC	BIRC5_HUMAN - INCE_HUMAN	-5.664	-19.543	41	41	100.00%	No expression data available	1	0.161813573	1	0.161813573	-0.916512078
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	APC7_HUMAN	Anaphase-promoting complex subunit 7	3fflC	3fflAC	APC7_HUMAN - APC7_HUMAN	-6.533	-11.098	25	30	83.33%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.178591079	0.833333333	0.1488259	-0.972279602
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	NU6M_HUMAN	NADH-ubiquinone oxidoreductase chain 6	5xtcm	5xtcjm	NU6M_HUMAN - NU3M_HUMAN	-9.364	-25.674	58	67	86.57%	No expression data available	1.5	0.694673005	1.298507463	0.902038081	-8.446684589
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	ASH1L_HUMAN	Histone-lysine N-methyltransferase ASH1L	3mqmB	3mqmAB	ASH1L_HUMAN - ASH1L_HUMAN	-5.525	-4.659	26	29	89.66%	"adrenal gland, bone marrow, bronchus, caudate, cerebral cortex, cervix, uterine, colon, epididymis, esophagus, fallopian tube, gallbladder, lung, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, skin 1, skin 2, testis, urinary bladder, vagina"	0.5	0	0.448275862	0	0
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	NDUB9_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9	5xtcp	5xtcbp	NDUB9_HUMAN - NDUB6_HUMAN	-7.681	-11.615	29	30	96.67%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.805591512	0.966666667	0.778738462	-5.981490125
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CALM2_HUMAN	Calmodulin-2	3g43C	3g43CE	CALM2_HUMAN - CAC1C_HUMAN	-9.864	-18.925	23	23	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.811532675	0.5	0.405766337	-4.002479152
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CALM2_HUMAN	Calmodulin-2	4umoC	4umoBC	CALM2_HUMAN - KCNQ1_HUMAN	-11.571	-20.958	26	35	74.29%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.838424113	0.742857143	0.622829341	-7.206758302
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a	5ydkC	5ydkCF	RS27A_HUMAN - RN168_HUMAN	-5.138	-10.395	24	24	100.00%	No expression data available	0.5	0.190635031	0.5	0.095317516	-0.489741395
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	NUP58_HUMAN	Nucleoporin p58/p45	4jq5B	4jq5AB	NUP58_HUMAN - NUP58_HUMAN	-8.432	-29.813	60	68	88.24%	"appendix, breast, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.996775128	1.323529412	1.319261199	-11.12401043
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	USH1C_HUMAN	Harmonin	2kbrA	2kbrAB	USH1C_HUMAN - CAD23_HUMAN	-7.838	-8.458	17	18	94.44%	No expression data available	0.5	0.279820352	0.472222222	0.132137388	-1.035692849
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SKA3_HUMAN	Spindle and kinetochore-associated protein 3	4aj51	4aj51G	SKA3_HUMAN - SKA1_HUMAN	-6.864	-25.946	52	73	71.23%	"epididymis, testis"	1.5	0.340026911	1.068493151	0.363316425	-2.493803941
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	RABE1_HUMAN	Rab GTPase-binding effector protein 1	4n3yB	4n3yBC	RABE1_HUMAN - RABE1_HUMAN	-7.9	-35.549	63	79	79.75%	No expression data available	1.5	0.767332418	1.196202532	0.917884981	-7.251291348
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CCL17_HUMAN	C-C motif chemokine 17	1nr4G	1nr4DG	CCL17_HUMAN - CCL17_HUMAN	-5.501	-5.682	16	18	88.89%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0	0.444444444	0	0
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1	3mtsB	3mtsBC	SUV91_HUMAN - SUV91_HUMAN	-5.679	-10.095	25	35	71.43%	No expression data available	1	0.746656662	0.714285714	0.533326187	-3.028759415
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SKA2_HUMAN	Spindle and kinetochore-associated protein 2	4aj5N	4aj5KN	SKA2_HUMAN - SKA2_HUMAN	-9.834	-4.097	19	19	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.798840713
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SKA3_HUMAN	Spindle and kinetochore-associated protein 3	4aj5V	4aj5AV	SKA3_HUMAN - SKA1_HUMAN	-8.539	-27.903	56	77	72.73%	"epididymis, testis"	1.5	0.494902703	1.090909091	0.539893857	-4.610153649
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1x79B	1x79BC	RABE1_HUMAN - RABE1_HUMAN	-6.097	-19.618	37	44	84.09%	No expression data available	1	0.293413078	0.840909091	0.246733724	-1.504335517
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SNP29_HUMAN	Synaptosomal-associated protein 29	4wy4D	4wy4AD	SNP29_HUMAN - VAMP8_HUMAN	-9.826	-21.602	58	60	96.67%	No expression data available	1.5	0.333231613	1.45	0.483185839	-4.747784053
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CAC1C_HUMAN	Voltage-dependent L-type calcium channel subunit alpha-1C	3g43E	3g43EF	CAC1C_HUMAN - CAC1C_HUMAN	-8.46	-10.749	33	33	100.00%	No expression data available	1	0.162465063	1	0.162465063	-1.374454429
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	ROCK1_HUMAN	Rho-associated protein kinase 1	4l2wA	4l2wAB	ROCK1_HUMAN - ROCK1_HUMAN	-10.135	-17.232	51	51	100.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.347008916	1.5	0.520513374	-5.275403041
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1	1go4G	1go4GH	MD1L1_HUMAN - MD1L1_HUMAN	-9.912	-25.707	44	57	77.19%	No expression data available	1.5	0.817783739	1.157894737	0.946907487	-9.385747016
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	MD1L1_HUMAN	Mitotic spindle assembly checkpoint protein MAD1	1go4F	1go4EF	MD1L1_HUMAN - MD1L1_HUMAN	-7.86	-21.955	42	58	72.41%	No expression data available	1.5	0.621781956	1.086206897	0.675383849	-5.308517055
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	VIME_HUMAN	Vimentin	4yv3C	4yv3AC	VIME_HUMAN - VIME_HUMAN	-11.429	-19.031	58	62	93.55%	No expression data available	1.5	0.213924842	1.403225806	0.300184858	-3.430812747
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	SH3K1_HUMAN	SH3 domain-containing kinase-binding protein 1	2n64C	2n64AC	SH3K1_HUMAN - SH3K1_HUMAN	-7.732	-16.083	55	64	85.94%	No expression data available	1.5	0.743931135	1.2890625	0.958973728	-7.414784867
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	STX6_HUMAN	Syntaxin-6	2npsD	2npsAD	STX6_HUMAN - VAMP4_MOUSE	-7.503	-22.704	60	63	95.24%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.471516115	1.428571429	0.67359445	-5.053979159
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	BRK1_HUMAN	Protein BRICK1	3p8cE	3p8cDE	BRK1_HUMAN - WASF1_HUMAN	-6.854	-23.78	59	73	80.82%	No expression data available	1.5	0.273561001	1.212328767	0.331645871	-2.273100798
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	BAP31_HUMAN	B-cell receptor-associated protein 31	4jzlD	4jzlAD	BAP31_HUMAN - BAP31_HUMAN	-8.982	-34.101	62	62	100.00%	No expression data available	1.5	0.767504035	1.5	1.151256052	-10.34058186
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1tu3G	1tu3FG	RABE1_HUMAN - RABE1_HUMAN	-9.349	-23.487	44	46	95.65%	No expression data available	1	0.706160094	0.956521739	0.675457481	-6.314851991
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pC	5f5pAC	ROCK1_HUMAN - SHRM2_HUMAN	-8.597	-11.075	29	50	58.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.350035012	0.87	0.304530461	-2.61804837
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	VIME_HUMAN	Vimentin	3trtB	3trtAB	VIME_HUMAN - VIME_HUMAN	-9.952	-29.395	65	73	89.04%	No expression data available	1.5	0.029325764	1.335616438	0.039167973	-0.389799665
3ubeJ	INFLUENZA A VIRUS	HEMAGGLUTININ HA2	CNGA3_HUMAN	Cyclic nucleotide-gated cation channel alpha-3	3swyB	3swyAB	CNGA3_HUMAN - CNGA3_HUMAN	-11.259	-16.756	46	46	100.00%	"adrenal gland, cerebral cortex, hypothalamus, smooth muscle"	1	0.710093464	1	0.710093464	-7.994942312
