Microbe Protein PDB	Microbial Organism	Microbial Protein Name	Human protein	Human protein Name	Human protein PDB	Template interface	Mimicked/disrupted human PPI	I_SC for modeled HMI	I_SC for template PPI	# of aligned residues 	Length of template interface	%Match	Human Protein Tissue Expression	Weight	Probability of being a biological interface	Score1	Score2	Score3	Unnamed: 19
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SKA2_HUMAN	Spindle and kinetochore-associated protein 2	4aj5N	4aj5KN	SKA2_HUMAN - SKA2_HUMAN	-8.402	-4.097	19	19	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.682515728	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	VIME_HUMAN	Vimentin	1gk4A	1gk4AB	VIME_HUMAN - VIME_HUMAN	-9.836	-44.842	62	79	78.48%	No expression data available	1.5	0.405396647	1.17721519	0.47723909	-4.694123693	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	TS101_HUMAN	Tumor susceptibility gene 101 protein	3iv1C	3iv1AC	TS101_HUMAN - TS101_HUMAN	-9.595	-20.658	61	65	93.85%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.569967999	1.407692308	0.802339567	-7.69844815	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	TACC3_HUMAN	Transforming acidic coiled-coil-containing protein 3	5lxnB	5lxnAB	TACC3_HUMAN - TACC3_HUMAN	-7.007	-26.521	63	76	82.89%	No expression data available	1.5	0.057335748	1.243421053	0.071292476	-0.499546379	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	CENPB_HUMAN	Major centromere autoantigen B	1ufiB	1ufiAB	CENPB_HUMAN - CENPB_HUMAN	-6.729	-28.095	36	48	75.00%	"adrenal gland, appendix, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, seminal vesicle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.920757008	0.75	0.690567756	-4.646830431	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	HOME3_HUMAN	Homer protein homolog 3	3cvfB	3cvfAB	HOME3_HUMAN - HOME3_HUMAN	-7.497	-12.989	43	50	86.00%	No expression data available	1.5	0.753576157	1.29	0.972113243	-7.287932983	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	ROCK1_HUMAN	Rho-associated protein kinase 1	5f5pC	5f5pAC	ROCK1_HUMAN - SHRM2_HUMAN	-6.293	-11.075	29	50	58.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.350035012	0.87	0.304530461	-1.916410189	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	STK4_HUMAN	Serine/threonine-protein kinase 4	4oh8A	4oh8AB	STK4_HUMAN - RASF5_HUMAN	-8.138	-23.65	41	46	89.13%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.814245665	0.891304348	0.725740702	-5.90607783	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	RABE1_HUMAN	Rab GTPase-binding effector protein 1	1tu3G	1tu3FG	RABE1_HUMAN - RABE1_HUMAN	-5.302	-23.487	44	46	95.65%	No expression data available	1	0.706160094	0.956521739	0.675457481	-3.581275565	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	AZI2_HUMAN	5-azacytidine-induced protein 2	5ep6A	5ep6AD	AZI2_HUMAN - TBK1_HUMAN	-10.703	-14.712	38	44	86.36%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.433333995	0.863636364	0.374242995	-4.005522781	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	INCE_HUMAN	Inner centromere protein	2qfaC	2qfaBC	INCE_HUMAN - BOREA_HUMAN	-5.425	-15.027	53	56	94.64%	No expression data available	1.5	0.162465063	1.419642857	0.230642366	-1.251234834	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	SRBP2_HUMAN	Sterol regulatory element-binding protein 2	1uklC	1uklCD	SRBP2_HUMAN - SRBP2_HUMAN	-6.84	-24.806	41	52	78.85%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, hippocampus, kidney, lung, lymph node, nasopharynx, oral mucosa, ovary, placenta, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, tonsil, urinary bladder, vagina"	1.5	0.932873443	1.182692308	1.103302246	-7.546587359	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	AZI2_HUMAN	5-azacytidine-induced protein 2	5ep6C	5ep6BC	AZI2_HUMAN - TBK1_HUMAN	-7.9	-12.548	37	41	90.24%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.493264034	0.902439024	0.445140713	-3.516611635	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	ITA2B_HUMAN	Integrin alpha-IIb	2k9jA	2k9jAB	ITA2B_HUMAN - ITB3_HUMAN	-5.4	-9.776	36	36	100.00%	No expression data available	1	0	1	0	0	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	PK2L1_HUMAN	Polycystic kidney disease 2-like 1 protein	3te3B	3te3AB	PK2L1_HUMAN - PK2L1_HUMAN	-8.772	-11.332	33	34	97.06%	No expression data available	1	0.451185012	0.970588235	0.437914865	-3.841389194	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	TLR3_HUMAN	Toll-like receptor 3	2mkaA	2mkaAB	TLR3_HUMAN - TLR3_HUMAN	-6.733	-4.572	28	29	96.55%	No expression data available	0.5	0	0.482758621	0	0	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	GCC2_HUMAN	GRIP and coiled-coil domain-containing protein 2	3bbpE	3bbpDE	GCC2_HUMAN - GCC2_HUMAN	-9.112	-18.323	38	38	100.00%	No expression data available	1	0.12205309	1	0.12205309	-1.112147761	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	BAP29_HUMAN	B-cell receptor-associated protein 29	4w7yA	4w7yAB	BAP29_HUMAN - BAP29_HUMAN	-6.334	-23.853	54	58	93.10%	No expression data available	1.5	0.209159365	1.396551724	0.292101872	-1.850173258	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	KCNQ1_HUMAN	Potassium voltage-gated channel subfamily KQT member 1	3hfeB	3hfeBC	KCNQ1_HUMAN - KCNQ1_HUMAN	-8.862	-6.117	23	23	100.00%	No expression data available	0.5	0.41254231	0.5	0.206271155	-1.827974975	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	MYCBP_HUMAN	c-Myc-binding protein	2yy0A	2yy0AB	MYCBP_HUMAN - MYCBP_HUMAN	-5.196	-20.033	37	37	100.00%	No expression data available	1	0.814583917	1	0.814583917	-4.232578032	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	BCL9_HUMAN	B-cell CLL/lymphoma 9 protein	2gl7F	2gl7DF	BCL9_HUMAN - CTNB1_HUMAN	-5.465	-8.358	23	26	88.46%	No expression data available	0.5	0.209159365	0.442307692	0.092512796	-0.505582431	
4bh3B	INFLUENZA VIRUS	HEMAGGLUTININ	K2C5_HUMAN	"Keratin, type II cytoskeletal 5"	3tnuB	3tnuAB	K2C5_HUMAN - K1C14_HUMAN	-13.755	-45.733	66	90	73.33%	No expression data available	2	0.791082343	1.466666667	1.160254104	-15.9592952	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	CHLE_HUMAN	Cholinesterase	6esyB	6esyAB	CHLE_HUMAN - CHLE_HUMAN	-5.159	-6.981	28	29	96.55%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.188631273	0.482758621	0.091063373	-0.469795942	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	ABCG8_HUMAN	ATP-binding cassette sub-family G member 8	5do7D	5do7BD	ABCG8_HUMAN - ABCG8_HUMAN	-7.223	-9.941	32	37	86.49%	No expression data available	1	0	0.864864865	0	0	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	HDAC2_HUMAN	Histone deacetylase 2	4lxzC	4lxzAC	HDAC2_HUMAN - HDAC2_HUMAN	-5.366	-6.291	22	26	84.62%	No expression data available	0.5	0	0.423076923	0	0	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	IPO4_HUMAN	Importin-4	5xahD	5xahCD	IPO4_HUMAN - IPO4_HUMAN	-9.481	-16.895	42	47	89.36%	No expression data available	1	0.886253419	0.893617021	0.79197114	-7.508678383	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	NU2M_HUMAN	NADH-ubiquinone oxidoreductase chain 2	5xtci	5xtcir	NU2M_HUMAN - NU4M_HUMAN	-5.298	-18.114	47	55	85.45%	No expression data available	1.5	0.578634642	1.281818182	0.741704405	-3.929549936	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	CYB_HUMAN	Cytochrome b	5xteJ	5xteAJ	CYB_HUMAN - QCR8_HUMAN	-5.336	-14.728	27	38	71.05%	No expression data available	1	0.265027401	0.710526316	0.188308942	-1.004816517	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	NR5A2_HUMAN	Nuclear receptor subfamily 5 group A member 2	4oniB	4oniAB	NR5A2_HUMAN - NR5A2_HUMAN	-6.181	-11.771	43	50	86.00%	No expression data available	1.5	0.009784275	1.29	0.012621715	-0.078014822	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	HMOX2_HUMAN	Heme oxygenase 2	5uc9A	5uc9AD	HMOX2_HUMAN - HMOX2_HUMAN	-6.262	-1.544	33	40	82.50%	No expression data available	1	0	0.825	0	0	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	RABX5_HUMAN	Rab5 GDP/GTP exchange factor	4q9uA	4q9uAC	RABX5_HUMAN - RABE1_HUMAN	-6.79	-9.639	51	51	100.00%	No expression data available	1.5	0.044440511	1.5	0.066660766	-0.452626603	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	TRAF1_HUMAN	TNF receptor-associated factor 1	5e1tA	5e1tAC	TRAF1_HUMAN - TRAF1_HUMAN	-12.359	-19.522	40	50	80.00%	No expression data available	1.5	0.107825779	1.2	0.129390934	-1.599142556	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	CTNB1_HUMAN	Catenin beta-1	3slaD	3slaDE	CTNB1_HUMAN - CTNB1_HUMAN	-7.548	-10.095	32	38	84.21%	No expression data available	1	0.410107577	0.842105263	0.345353749	-2.6067301	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	RB11A_HUMAN	Ras-related protein Rab-11A	6djlA	6djlAC	RB11A_HUMAN - 3BP5_HUMAN	-7.562	-14.047	42	50	84.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.992523659	1.26	1.25057981	-9.456884521	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	RB11A_HUMAN	Ras-related protein Rab-11A	6djlH	6djlBH	RB11A_HUMAN - 3BP5_HUMAN	-5.182	-13.501	43	50	86.00%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, nasopharynx, oral mucosa, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, small intestine, soft tissue 1, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1.5	0.983462504	1.29	1.26866663	-6.574230476	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	SHRM2_HUMAN	Protein Shroom2	5f5pA	5f5pAC	SHRM2_HUMAN - ROCK1_HUMAN	-10.293	-11.075	29	29	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.350035012	0.5	0.175017506	-1.80145519	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	UB2G2_HUMAN	Ubiquitin-conjugating enzyme E2 G2	2lxpA	2lxpAB	UB2G2_HUMAN - AMFR_HUMAN	-5.242	-12.189	27	27	100.00%	"adrenal gland, appendix, bone marrow, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, hippocampus, kidney, liver, lung, lymph node, nasopharynx, pancreas, placenta, prostate, rectum, seminal vesicle, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	0.5	0.470307003	0.5	0.235153501	-1.232674654	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	UCRI_HUMAN	"Cytochrome b-c1 complex subunit Rieske, mitochondrial"	5xteC	5xteCD	UCRI_HUMAN - QCR9_HUMAN	-5.773	-12.761	27	33	81.82%	No expression data available	1	0.162465063	0.818181818	0.13292596	-0.767381569	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	PLMN_HUMAN	Plasminogen	2dohX	2dohCX	PLMN_HUMAN - PAM_STRPY	-6.164	-9.379	19	19	100.00%	No expression data available	0.5	0.654619819	0.5	0.327309909	-2.017538282	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	HBA_HUMAN	Hemoglobin subunit alpha	1y01B	1y01AB	HBA_HUMAN - AHSP_HUMAN	-5.423	-10.771	41	43	95.35%	No expression data available	1	0.833211702	0.953488372	0.794457669	-4.308343939	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	SRA1_HUMAN	Steroid receptor RNA activator 1	4nboA	4nboAB	SRA1_HUMAN - SRA1_HUMAN	-5.341	-3.756	18	23	78.26%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.162465063	0.391304348	0.063573285	-0.339544917	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	SHRPN_HUMAN	Sharpin	4emoC	4emoBC	SHRPN_HUMAN - SHRPN_HUMAN	-7.527	-16.166	26	37	70.27%	"adrenal gland, appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.281027656	0.702702703	0.197478893	-1.486423629	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	RAMP1_HUMAN	Receptor activity-modifying protein 1	3n7pD	3n7pAD	RAMP1_HUMAN - CALRL_HUMAN	-13.156	-13.813	28	38	73.68%	No expression data available	1	0.959124392	0.736842105	0.706723236	-9.297650899	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	SPAST_HUMAN	Spastin	3eabA	3eabAG	SPAST_HUMAN - CHM1B_HUMAN	-10.728	-16.847	27	32	84.38%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	1	0.851489444	0.84375	0.718444219	-7.707469577	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	RS27A_HUMAN	Ubiquitin-40S ribosomal protein S27a	5ydkC	5ydkCF	RS27A_HUMAN - RN168_HUMAN	-6.803	-10.395	24	24	100.00%	No expression data available	0.5	0.190635031	0.5	0.095317516	-0.648445058	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	EPHB2_HUMAN	Ephrin type-B receptor 2	1b4fB	1b4fAB	EPHB2_HUMAN - EPHB2_HUMAN	-9.173	-10.907	20	26	76.92%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	0.5	0.018186108	0.384615385	0.006994657	-0.064161987	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	USH1C_HUMAN	Harmonin	2kbrA	2kbrAB	USH1C_HUMAN - CAD23_HUMAN	-8.897	-8.458	18	18	100.00%	No expression data available	0.5	0.279820352	0.5	0.139910176	-1.244780834	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	PKCB1_HUMAN	Protein kinase C-binding protein 1	5mq4A	5mq4AD	PKCB1_HUMAN - PKCB1_HUMAN	-6.229	-30.069	62	87	71.26%	"adrenal gland, appendix, bone marrow, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 1, endometrium 2, epididymis, esophagus, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, pancreas, parathyroid gland, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0	1.425287356	0	0	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	SKA2_HUMAN	Spindle and kinetochore-associated protein 2	4aj5M	4aj5MP	SKA2_HUMAN - SKA2_HUMAN	-12.055	-4.372	20	20	100.00%	No expression data available	0.5	0.162465063	0.5	0.081232531	-0.979258165	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	RAB3I_HUMAN	Rab-3A-interacting protein	6f6pD	6f6pBD	RAB3I_HUMAN - RAB3I_HUMAN	-5.245	-25.589	49	49	100.00%	No expression data available	1	0.108654808	1	0.108654808	-0.569894466	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1	2v66D	2v66CD	NDEL1_HUMAN - NDEL1_HUMAN	-6.688	-21.422	55	75	73.33%	"appendix, breast, bronchus, caudate, cerebellum, cerebral cortex, cervix, uterine, colon, duodenum, endometrium 2, epididymis, esophagus, gallbladder, heart muscle, hippocampus, kidney, nasopharynx, oral mucosa, placenta, rectum, salivary gland, skeletal muscle, skin 1, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder"	1.5	0.103920751	1.1	0.114312826	-0.764524183	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	BST2_HUMAN	Bone marrow stromal antigen 2	3mq7I	3mq7IJ	BST2_HUMAN - BST2_HUMAN	-13.068	-31.598	62	81	76.54%	"adrenal gland, appendix, bone marrow, breast, cerebellum, cerebral cortex, colon, duodenum, endometrium 1, endometrium 2, epididymis, fallopian tube, gallbladder, heart muscle, hippocampus, kidney, liver, lung, lymph node, nasopharynx, oral mucosa, ovary, pancreas, placenta, prostate, rectum, salivary gland, seminal vesicle, skeletal muscle, skin 2, small intestine, smooth muscle, soft tissue 1, soft tissue 2, spleen, stomach 1, stomach 2, testis, thyroid gland, tonsil, urinary bladder, vagina"	2	0.284982846	1.530864198	0.436270036	-5.701176829	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	UBC_HUMAN	Polyubiquitin-C	2kdfC	2kdfAC	UBC_HUMAN - PSMD4_HUMAN	-5.628	-2.897	17	22	77.27%	No expression data available	0.5	0.030740814	0.386363636	0.011877133	-0.066844502	
4bh4B	INFLUENZA VIRUS	HEMAGGLUTININ	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1	3mtsB	3mtsBC	SUV91_HUMAN - SUV91_HUMAN	-6.088	-10.095	25	35	71.43%	No expression data available	1	0.746656662	0.714285714	0.533326187	-3.246889825	
